id_personal,nombre,rut,edad,sexo,id_tienda
0,MARÍA ELENA	SOTO	LÓPEZ,12.924.544-0,32,Mujer,0
1,HÉCTOR MANUEL	PRADO	CALLEROS,14.254.236-0,18,Hombre,1
2,GABRIELA AURORA	HERNÁNDEZ	MOLINA,12.050.616-1,30,Mujer,2
3,GERMÁN E.	FAJARDO	DOLCI,24.425.117-4,30,Mujer,3
4,GENARO	GABRIEL	ORTIZ,25.942.523-1,33,Hombre,4
5,FRANCISCO TOMÁS	RODRÍGUEZ	COVARRUBIAS,21.890.463-2,20,Mujer,5
6,JUAN MANUEL	CALLEJA	CASTILLO,13.426.871-1,38,Hombre,6
7,ARNULFO EMMANUEL	IRIGOYEN	CORIA,14.822.756-1,34,Hombre,7
8,CARLOS	CASTILLO	SALGADO,10.681.228-6,27,Mujer,8
9,YOLANDA	LÓPEZ	VIDAL,24.160.523-6,29,Mujer,9
10,JOSÉ	SIFUENTES	OSORNIO,14.520.557-8,31,Hombre,10
11,PABLO	HERNÁNDEZ	JAUREGUI,10.211.417-7,34,Hombre,11
12,JOSÉ ANTONIO	ARIAS	MONTAÑO,21.495.716-1,25,Hombre,12
13,ÁLVARO	BOLIO	CICERO,23.030.379-1,30,Hombre,13
14,MOISÉS	MERCADO	ATRI,10.064.445-2,31,Mujer,14
15,GILBERTO FELIPE	VARGAS	ALARCÓN,12.884.778-5,23,Hombre,15
16,LUIS GUILLERMO	LLORENTE	PETERS,14.186.726-2,25,Hombre,16
17,MANUEL ROBERTO	MORALES	POLANCO,14.707.875-7,30,Mujer,17
18,PEDRO	LAVALLE	AGUILAR,15.926.735-1,31,Mujer,18
19,MIGUEL ÁNGEL	RODRÍGUEZ	WEBER,13.308.793-2,24,Hombre,19
20,VIRGINIA	PASCUAL	RAMOS,14.525.745-1,36,Hombre,0
21,MARÍA DEL CARMEN	ÁVILA	CASADO,12.289.190-1,25,Hombre,18
22,CLAUDIA BEGOÑA	INFANTE	CASTAÑEDA,14.440.035-7,37,Mujer,16
23,MARÍA EUGENIA	PONCE DE LEÓN	CASTAÑEDA,12.411.964-0,32,Mujer,15
24,CÉSAR RAÚL	GONZÁLEZ	BONILLA,10.672.726-5,23,Mujer,16
25,JOSÉ HUGO	ARREDONDO	GALÁN,13.654.441-8,26,Hombre,7
26,EDUARDO	RODRÍGUEZ	NORIEGA,23.094.364-5,30,Mujer,13
27,EUCARIO	LEÓN	RODRÍGUEZ,23.297.984-4,32,Mujer,0
28,IRIS ENRIQUETA	MARTÍNEZ	JUÁREZ,20.070.372-7,21,Mujer,15
29,ROBERTO AUGUSTO	ESTRADA	CASTAÑÓN,21.271.110-4,28,Hombre,0
30,ALFONSO	DUEÑAS	GONZÁLEZ,12.843.517-5,24,Hombre,4
31,ROBERTO	TAPIA	CONYER,10.044.916-2,28,Mujer,13
32,MAYELA DE JESÚS	RODRÍGUEZ	VIOLANTE,11.069.553-7,30,Hombre,17
33,JOSÉ FERNANDO	GUADALAJARA	BOO,23.644.091-1,20,Hombre,11
34,ARTURO	ÁNGELES	ÁNGELES,15.888.717-2,33,Hombre,0
35,GUILLERMO	CAREAGA	REYNA,20.477.873-0,18,Hombre,8
36,JORGE ARTURO	CARDONA	PÉREZ,24.356.820-9,34,Hombre,7
37,JORGE DE JESÚS	FIELD	CORTÁZARES,21.848.686-9,20,Mujer,18
38,ENRIQUE PABLO	VALLEJO	VENEGAS,20.492.695-0,25,Mujer,20
39,MARTHA EUGENIA	RODRÍGUEZ	PÉREZ,14.605.882-2,32,Mujer,5
40,JOSÉ EUGENIO	GONZÁLEZ	LLAVEN,12.753.494-0,35,Mujer,9
41,MIGUEL ÁNGEL	MERCADO	DÍAZ,22.315.128-5,34,Mujer,4
42,ALICIA	ORTEGA	AGUILAR,24.597.810-4,36,Mujer,1
43,MARÍA DE LA LUZ	OROZCO	COVARRUBIAS,25.153.147-8,37,Hombre,1
44,JORGE	MARTÍNEZ	MANAUTOU,25.182.517-4,30,Hombre,11
45,MARÍA ASUNCIÓN	ÁLVAREZ	DEL RÍO,22.671.354-4,21,Mujer,5
46,JOSÉ ALBERTO	DÍAZ	QUIÑÓNEZ,14.873.545-2,40,Mujer,15
47,MANUEL	TORRES	ZAMORA,12.303.267-9,40,Mujer,16
48,CARLOS PEDRO	SANTOS-BURGOA	ZARNECKI,25.318.360-9,36,Mujer,19
49,HÉCTOR HUGO	RIVERA	REYES,21.024.199-6,30,Mujer,4
