id_usuario,nombre,rut,edad
0,TAKAO	KIMURA	FUJIKAMI,21.045.112-4,21
1,ROBERTO	HERRERA	GOEPFERT,11.084.807-7,38
2,ALICIA	HAMUI	SUTTON,24.752.285-1,22
3,ANA LUISA	VELASCO	MONROY,13.620.862-3,40
4,LUIS ALONSO	HERRERA	MONTALVO,21.417.357-3,32
5,JOSÉ ANTONIO	SERENO	COLO,13.341.906-0,31
6,JUAN JOSÉ	CALVA	MERCADO,22.563.851-9,38
7,ARMANDO	MANSILLA	OLIVARES,10.359.160-8,28
8,JUAN MIGUEL	ABDO	FRANCIS,20.500.260-6,29
9,ANA ELENA	LEMUS	BRAVO,14.206.084-6,39
10,ALBERTO CARLO	FRATI	MUNARI,23.143.327-9,35
11,MANUEL	CAMPUZANO	FERNÁNDEZ,12.959.564-9,21
12,FERMÍN	VALENZUELA	GÓMEZ-GALLARDO,24.819.282-5,18
13,JOSÉ FRANCISCO	GALLEGOS	HERNÁNDEZ,23.584.443-7,39
14,MARÍA DOLORES	ALCÁNTAR	CURIEL,25.053.733-2,28
15,MARÍA ELISA	VEGA	MEMIJE,13.759.338-8,39
16,PEDRO ANTONIO	REYES	LÓPEZ,12.960.052-3,39
17,HÉCTOR JOSÉ	GUISCAFRE	GALLARDO,13.110.131-2,36
18,LIZBETH TERESITA	LÓPEZ	CARRILLO,20.776.699-6,37
19,ALEJANDRO	ESCOBAR	GUTIÉRREZ,12.929.126-9,27
20,JORGE	MELÉNDEZ	ZAJGLA,13.440.532-5,40
21,PATRICIO JAVIER	SANTILLÁN	DOHERTY,20.288.585-9,39
22,ANTELMO ABELARDO	MENESES	GARCÍA,24.481.881-1,35
23,SILVIA	GIONO	CEREZO,24.967.871-8,33
24,TAKESHI	TAKAHASHI	MONROY,15.583.044-8,37
25,PALOMA	ALMEDA	VALDÉS,21.394.188-6,23
26,MALAQUÍAS	LÓPEZ	CERVANTES,23.042.818-9,28
27,ABRAHAM SALVADOR	MAJLUF	CRUZ,11.492.468-5,26
28,OTILIA	PERICHART	PERERA,21.990.187-2,35
29,ALEJANDRO	DÍAZ	MARTÍNEZ,10.873.935-8,40
30,IGNACIO	MADRAZO	NAVARRO,14.309.280-3,21
31,JESÚS CARLOS	BRIONES	GARDUÑO,23.377.535-9,24
32,FERNANDO BERNARDO	GABILONDO	NAVARRO,24.659.493-5,21
33,JORGE	MORALES	MONTOR,21.405.136-8,20
34,RICARDO	TAPIA	IBARGÜENGOYTIA,15.985.119-7,26
35,ANTONIO	SODA	MERHY,10.417.827-6,28
36,VIRGILIO	LIMA	GÓMEZ,14.033.502-8,36
37,FLAVIO GERARDO	RICO	MÉNDEZ,13.369.282-1,26
38,JAIME	MAS	OLIVA,20.757.650-4,33
39,ÁLVARO	AGUAYO	GONZÁLEZ,20.167.665-0,25
40,JORGE	HERNÁNDEZ	ORTÍZ,23.463.022-7,40
41,GUILLERMO B.	ROBLES	DÍAZ,10.707.436-1,40
42,MAURICIO	HERNÁNDEZ	ÁVILA,10.934.908-6,35
43,JOSÉ ROGELIO	PÉREZ	PADILLA,24.126.471-3,33
44,FERNANDO	CHICO	PONCE DE LEÓN,24.677.028-1,37
45,EFRAÍN	DÍAZ	JOUANEN,22.933.931-0,28
46,RITA ANGÉLICA	GÓMEZ	DÍAZ,22.899.340-0,17
47,FRANCISO JAVIER	ROLDÁN	GÓMEZ,20.805.025-0,36
48,IRMA	ISORDIA	SALAS,13.174.932-9,35
49,GUADALUPE MERCEDES LUCÍA	GUERRERO	AVENDAÑO,20.132.295-1,21
